var_id,level,ref_id
1002,0,1001
1003,0,1001
7002,0,1001
7003,0,1001
7004,0,1001
7005,0,1001
7006,0,1001
7007,0,1001
7008,0,1001
7009,0,1001
7010,0,1001
7011,0,1001
7012,0,1001
7013,0,1001
7014,0,1001
7015,0,1001
7016,0,1001
7017,0,1001
7018,0,1001
7019,0,1001
7020,0,1001
7021,0,1001
7022,0,1001
7023,0,1001
7024,0,1001
7025,0,1001
7026,0,1001
7027,0,1001
7028,0,1001
7029,0,1001
7030,0,1001
7031,0,1001
7032,0,1001
7033,0,1001
7034,0,1001
7035,0,1001
7036,0,1001
7037,0,1001
7038,0,1001
7039,0,1001
7040,0,1001
7041,0,1001
7042,0,1001
7043,0,1001
7044,0,1001
7045,0,1001
7046,0,1001
7047,0,1001
7048,0,1001
7049,0,1001
7050,0,1001
7051,0,1001
7052,0,1001
7053,0,1001
7054,0,1001
7055,0,1001
7056,0,1001
7057,0,1001
7058,0,1001
7059,0,1001
7060,0,1001
7061,0,1001
7062,0,1001
7063,0,1001
7064,0,1001
7065,0,1001
7066,0,1001
7067,0,1001
7068,0,1001
7069,0,1001
7070,0,1001
7071,0,1001
7072,0,1001
7073,0,1001
7074,0,1001
7075,0,1001
7076,0,1001
7077,0,1001
7078,0,1001
7079,0,1001
7080,0,1001
7081,0,1001
7082,0,1001
7083,0,1001
7084,0,1001
7085,0,1001
7086,0,1001
7087,0,1001
7088,0,1001
7089,0,1001
7090,0,1001
7091,0,1001
7092,0,1001
7093,0,1001
7094,0,1001
7095,0,1001
7096,0,1001
7097,0,1001
7098,0,1001
7099,0,1001
7100,0,1001
7101,0,1001
7102,0,1001
7103,0,1001
7104,0,1001
7105,0,1001
7106,0,1001
7107,0,1001
7108,0,1001
7109,0,1001
7110,0,1001
7111,0,1001
7112,0,1001
7113,0,1001
8002,0,1001
8003,0,1001
9002,0,1001
9003,0,1001
9004,0,1001
9005,0,1001
9006,0,1001
9007,0,1001
9008,0,1001
9009,0,1001
9010,0,1001
9011,0,1001
9012,0,1001
9013,0,1001
9014,0,1001
9015,0,1001
9016,0,1001
9017,0,1001
9018,0,1001
9019,0,1001
9020,0,1001
9021,0,1001
9022,0,1001
9023,0,1001
9024,0,1001
9025,0,1001
9026,0,1001
9027,0,1001
9028,0,1001
9029,0,1001
9030,0,1001
9031,0,1001
9032,0,1001
9033,0,1001
9034,0,1001
9035,0,1001
9036,0,1001
9037,0,1001
9038,0,1001
9039,0,1001
9040,0,1001
9041,0,1001
9042,0,1001
9043,0,1001
9044,0,1001
9045,0,1001
9046,0,1001
9047,0,1001
9048,0,1001
9049,0,1001
9050,0,1001
9051,0,1001
9052,0,1001
9053,0,1001
9054,0,1001
9055,0,1001
9056,0,1001
9057,0,1001
9058,0,1001
9059,0,1001
9060,0,1001
9061,0,1001
9062,0,1001
9063,0,1001
9064,0,1001
9065,0,1001
9066,0,1001
9067,0,1001
9068,0,1001
9069,0,1001
9070,0,1001
9071,0,1001
9072,0,1001
9073,0,1001
9074,0,1001
9075,0,1001
9076,0,1001
9077,0,1001
9078,0,1001
9079,0,1001
9080,0,1001
9081,0,1001
9082,0,1001
9083,0,1001
9084,0,1001
9085,0,1001
9086,0,1001
9087,0,1001
9088,0,1001
9089,0,1001
9090,0,1001
9091,0,1001
9092,0,1001
9093,0,1001
